Date,Open,High,Low,Close,Volume,MA,EMA,WMA,MFI,MOM,T10YIE,SP500,SOFR180DAYAVG,IHLIDXUS,OBMMIC15YF
2020-02-03,9344.68359375,9540.3720703125,9248.6337890625,9293.521484375,30934096509.0,9144.00009765625,9172.018564769414,9290.793465909092,72.10572312875982,848.0869140625,1.63,3248.92,1.80147,99.97,3.102
2020-02-04,9292.841796875,9331.265625,9112.8115234375,9180.962890625,29893183716.0,9225.31162109375,9173.644805834067,9297.51397372159,69.17219476754168,813.115234375,1.64,3297.59,1.79861,100.03,3.126
2020-02-05,9183.416015625,9701.2998046875,9163.7041015625,9613.423828125,35222060874.0,9326.97099609375,9253.604628068782,9368.079829545455,70.73815530884197,1016.59375,1.66,3334.69,1.79587,100.12,3.099
2020-02-06,9617.8212890625,9824.619140625,9539.818359375,9729.8017578125,37628823716.0,9408.96923828125,9340.185924385822,9441.321786221592,71.83828720395456,819.982421875,1.67,3345.78,1.79295,100.24,3.118
2020-02-07,9726.0029296875,9834.716796875,9726.0029296875,9795.943359375,34522718159.0,9452.70458984375,9423.050912565674,9511.680717329546,72.0359558843395,437.353515625,1.66,3327.71,1.79004,100.2,3.091
2020-02-08,9792.454231770833,9962.665625,9639.855989583333,9819.432942708334,40499418641.933334,9709.406536458333,9667.062865241916,9758.612754498106,58.4096876897806,480.5423177083333,1.65,3347.535714285714,1.7756,99.75466666666667,3.108214285714286
2020-02-09,9792.454231770833,9962.665625,9639.855989583333,9819.432942708334,40499418641.933334,9709.406536458333,9667.062865241916,9758.612754498106,58.4096876897806,480.5423177083333,1.65,3347.535714285714,1.7756,99.75466666666667,3.108214285714286
2020-02-10,10115.5595703125,10165.765625,9784.5634765625,9856.611328125,39386548075.0,9618.92978515625,9658.86910249183,9749.830646306818,70.43082051442491,506.08203125,1.66,3352.09,1.78079,100.26,3.09
2020-02-11,9855.8916015625,10210.052734375,9729.3349609375,10208.236328125,37648059389.0,9700.46591796875,9758.754052606952,9856.977290482955,71.61865270288892,815.361328125,1.65,3357.75,1.77771,100.23,3.115
2020-02-12,10202.3876953125,10393.611328125,10202.3876953125,10326.0546875,43444303830.0,9798.63486328125,9861.899622587505,9970.720703125,81.08172000084599,981.689453125,1.66,3379.45,1.77435,100.19,3.118
2020-02-13,10323.9609375,10457.626953125,10116.1611328125,10214.3798828125,49356071373.0,9890.720703125,9925.986942628413,10046.310706676137,68.63739133147145,920.8583984375,1.67,3373.94,1.77121,100.12,3.112
2020-02-14,10211.55078125,10321.99609375,10125.5341796875,10312.1162109375,43338264162.0,10003.83603515625,9996.192264139156,10122.928071732955,65.66884082627291,1131.1533203125,1.66,3380.16,1.76807,100.09,3.111
